amount,failure_reason,payment_method,customer_success_rate,previous_retries,retry_success_rate,time_since_failure,recovery_action,will_recover
500,insufficient_funds,card,0.90,0,0.80,10,retry,1
1200,insufficient_funds,card,0.85,1,0.75,30,retry,1
2500,card_declined,card,0.40,2,0.20,120,retry,0
800,network_error,upi,0.95,0,0.90,5,retry,1
1500,card_declined,card,0.60,1,0.50,60,notify,1
3000,insufficient_funds,card,0.30,3,0.10,240,retry,0
700,network_error,upi,0.88,0,0.85,15,retry,1
5000,card_declined,card,0.25,3,0.05,300,alternative,0
900,insufficient_funds,upi,0.80,1,0.70,20,retry,1
1800,card_declined,card,0.50,2,0.30,90,notify,0
600,network_error,upi,0.92,0,0.88,8,retry,1
2200,insufficient_funds,card,0.75,1,0.65,45,retry,1
3500,card_declined,card,0.35,2,0.15,180,alternative,0
1000,network_error,upi,0.90,0,0.82,12,retry,1
2700,insufficient_funds,card,0.45,2,0.25,150,notify,0
